instance	g	solution	gap	time	status
stilt100_9	8	10008040.0	0.00	37.7	OPTIMAL
stilt316_10	2	4181041.0	0.18	3600.1	TIME_LIMIT
stilt316_10	5	9554985.0	0.08	3600.0	TIME_LIMIT
stilt316_10	8	16947870.9	0.03	3600.1	TIME_LIMIT
stilt316_11	2	3980542.0	0.01	3600.1	TIME_LIMIT
stilt316_11	5	10183413.0	0.16	3600.1	TIME_LIMIT
stilt316_11	8	17342434.0	0.03	3600.1	TIME_LIMIT
stilt316_12	2	4017569.0	0.16	3600.1	TIME_LIMIT
stilt316_12	5	10037273.0	0.08	3600.8	TIME_LIMIT
stilt316_12	8	17319585.0	0.07	3600.1	TIME_LIMIT
stilt316_13	2	4494027.0	0.20	3600.1	TIME_LIMIT
stilt316_13	5	9708041.0	0.09	3600.3	TIME_LIMIT
stilt316_13	8	17686421.0	0.09	3600.1	TIME_LIMIT
stilt316_14	2	3768192.0	0.12	3600.1	TIME_LIMIT
stilt316_14	5	9772605.0	0.13	3600.2	TIME_LIMIT
stilt316_14	8	16510486.0	0.01	3600.1	TIME_LIMIT
stilt316_15	2	4297527.0	0.17	3600.1	TIME_LIMIT
stilt316_15	5	9517006.0	0.00	2809.0	OPTIMAL
stilt316_15	8	18039560.0	0.11	3600.0	TIME_LIMIT
stilt316_16	2	3846876.0	0.10	3600.1	TIME_LIMIT
stilt316_16	5	9943708.0	0.09	3601.0	TIME_LIMIT
stilt316_16	8	17507711.0	0.06	3600.1	TIME_LIMIT
stilt316_17	2	4246938.0	0.05	3600.1	TIME_LIMIT
stilt316_17	5	10485151.0	0.06	3600.0	TIME_LIMIT
stilt316_17	8	17726640.0	0.02	3600.1	TIME_LIMIT
stilt316_18	2	3886928.0	0.13	3600.1	TIME_LIMIT
stilt316_18	5	9495934.0	0.04	3600.0	TIME_LIMIT
stilt316_18	8	17355203.0	0.09	3600.1	TIME_LIMIT
stilt316_19	2	4126067.0	0.13	3600.3	TIME_LIMIT
stilt316_19	5	9789199.0	0.13	3600.3	TIME_LIMIT
stilt316_19	8	16419242.0	0.03	3600.0	TIME_LIMIT
td100_1	2	36509.0	0.00	11.9	OPTIMAL
td100_1	5	85987.0	0.00	3.6	OPTIMAL
td100_1	8	157727.0	0.00	2.0	OPTIMAL
td316_10	2	76669.0	0.00	24.1	OPTIMAL
td316_10	5	201465.0	0.00	15.5	OPTIMAL
td316_10	8	387300.0	0.00	37.7	OPTIMAL
