instance	g	run	solution	time
crane100_3	5	1	2948751.00	2.91
crane100_3	5	2	2948751.00	2.91
crane100_3	5	3	2948751.00	2.92
crane100_3	5	4	2948751.00	2.97
crane100_3	5	5	2889294.00	2.85
crane100_3	5	6	2948751.00	2.94
crane100_3	5	7	2948751.00	2.93
crane100_3	5	8	2948751.00	2.94
crane100_3	5	9	2948751.00	2.94
crane100_3	5	10	2948751.00	2.95
crane100_3	8	1	4922710.00	6.32
crane100_3	8	2	4983441.00	6.34
crane100_3	8	3	5006771.00	6.40
crane100_3	8	4	4983441.00	6.34
crane100_3	8	5	4903089.00	6.36
crane100_3	8	6	5006771.00	6.36
crane100_3	8	7	4956811.00	6.91
crane100_3	8	8	5006771.00	6.46
crane100_3	8	9	5006771.00	6.31
crane100_3	8	10	4972661.00	6.38
crane100_4	2	1	1203034.00	1.14
crane100_4	2	2	1203034.00	1.12
crane100_4	2	3	1203034.00	1.15
crane100_4	2	4	1203034.00	1.14
crane100_4	2	5	1203034.00	1.14
crane100_4	2	6	1203034.00	1.12
crane100_4	2	7	1203034.00	1.12
crane100_4	2	8	1203034.00	1.14
crane100_4	2	9	1203034.00	1.14
crane100_4	2	10	1203034.00	1.13
crane100_4	5	1	2951774.00	1.94
crane100_4	5	2	2951774.00	1.95
crane100_4	5	3	2951774.00	1.96
crane100_4	5	4	2951774.00	1.97
crane100_4	5	5	2951774.00	1.97
crane100_4	5	6	2951774.00	1.98
crane100_4	5	7	2951774.00	1.97
crane100_4	5	8	2951774.00	2.01
crane100_4	5	9	2951774.00	1.97
crane100_4	5	10	2951774.00	1.97
crane100_4	8	1	5251152.00	6.78
crane100_4	8	2	5124713.00	6.22
crane100_4	8	3	5124713.00	6.32
crane100_4	8	4	5251152.00	6.77
crane100_4	8	5	5086298.00	6.16
crane100_4	8	6	5208266.00	6.24
crane100_4	8	7	5124713.00	6.19
crane100_4	8	8	5208266.00	6.25
crane100_4	8	9	5208266.00	6.24
crane100_4	8	10	5209664.00	6.37
crane100_5	2	1	1267277.00	1.23
crane100_5	2	2	1267277.00	1.26
crane100_5	2	3	1267277.00	1.23
crane100_5	2	4	1267277.00	1.24
crane100_5	2	5	1267277.00	1.23
crane100_5	2	6	1267277.00	1.26
crane100_5	2	7	1267277.00	1.24
crane100_5	2	8	1267277.00	1.24
crane100_5	2	9	1267277.00	1.24
crane100_5	2	10	1267277.00	1.27
crane100_5	5	1	3004814.00	2.71
crane100_5	5	2	3004814.00	2.75
crane100_5	5	3	3004814.00	2.74
crane100_5	5	4	3023802.00	2.75
crane100_5	5	5	3023802.00	2.75
crane100_5	5	6	3023802.00	2.72
crane100_5	5	7	3023802.00	2.73
crane100_5	5	8	3023802.00	2.69
crane100_5	5	9	3004814.00	2.75
crane100_5	5	10	3004814.00	2.71
crane100_5	8	1	5582253.00	8.73
crane100_5	8	2	5582253.00	8.70
crane100_5	8	3	5582253.00	8.85
crane100_5	8	4	5449789.00	8.46
crane100_5	8	5	5582253.00	8.77
crane100_5	8	6	5582253.00	8.71
crane100_5	8	7	5582253.00	8.71
crane100_5	8	8	5582253.00	8.78
crane100_5	8	9	5582253.00	8.68
crane100_5	8	10	5582253.00	8.75
crane100_6	2	1	1026234.00	1.13
crane100_6	2	2	1026234.00	1.13
crane100_6	2	3	1026234.00	1.14
crane100_6	2	4	1026234.00	1.12
crane100_6	2	5	1026234.00	1.14
crane100_6	2	6	1026234.00	1.12
crane100_6	2	7	1026234.00	1.13
crane100_6	2	8	1026234.00	1.14
crane100_6	2	9	1026234.00	1.12
crane100_6	2	10	1026234.00	1.13
crane100_6	5	1	2321517.00	1.76
crane100_6	5	2	2321517.00	1.77
crane100_6	5	3	2321517.00	1.78
crane100_6	5	4	2321517.00	1.77
crane100_6	5	5	2321517.00	1.78
crane100_6	5	6	2321517.00	1.79
crane100_6	5	7	2321517.00	1.80
crane100_6	5	8	2321517.00	1.79
crane100_6	5	9	2331938.00	1.77
crane100_6	5	10	2321517.00	1.78
crane100_6	8	1	4352074.00	7.00
crane100_6	8	2	4303469.00	7.06
crane100_6	8	3	4279714.00	7.06
crane100_6	8	4	4352074.00	7.00
crane100_6	8	5	4352074.00	6.99
crane100_6	8	6	4279714.00	7.11
crane100_6	8	7	4303469.00	7.10
crane100_6	8	8	4303469.00	7.09
