instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
crane316_19  2  10    1772415.30     22295.87      1721104.00     29.1200    0.1464    28.9000    1567089.0        2284.8       OPTIMAL        9.8281              True                1575864.0   9.2165
crane316_19  5  10    4901685.00     43110.70      4852387.00     91.2910    0.4795    90.4100    4272261.0        1872.4       OPTIMAL        13.5789             True                4322582.0   12.2567
crane316_19  8  10    8915697.00     0.00          8915697.00     434.6960   2.2201    431.7900   7902226.0        3600.0       TIME_LIMIT     12.8251             True                8236771.0   8.2426
crane66_0    2  10    1269849.00     0.00          1269849.00     0.3870     0.0134    0.3700     1252494.0        38.1         OPTIMAL        1.3856              True                1256251.0   1.0824
crane66_0    5  10    2687500.00     0.00          2687500.00     0.7260     0.0143    0.7100     2617682.0        10.0         OPTIMAL        2.6672              True                2617682.0   2.6672
crane66_0    8  10    4357958.50     6366.19       4351919.00     1.4570     0.0527    1.4000     4174127.0        5.1          OPTIMAL        4.2594              True                4194580.0   3.7510
crane66_1    2  10    961865.00      0.00          961865.00      0.3860     0.0135    0.3700     961865.0         4.2          OPTIMAL        0.0000              True                961865.0    0.0000
crane66_1    5  10    2303060.80     1488.80       2300236.00     0.6160     0.0107    0.6000     2277182.0        10.8         OPTIMAL        1.0124              True                2311795.0   -0.5000
crane66_1    8  10    4146192.20     14262.27      4114916.00     1.2710     0.0152    1.2400     3979379.0        10.8         OPTIMAL        3.4060              True                4010020.0   2.6158
crane66_2    2  10    1182704.00     0.00          1182704.00     0.2610     0.0099    0.2500     1182704.0        11.1         OPTIMAL        0.0000              True                1182704.0   0.0000
crane66_2    5  10    2718229.00     25237.24      2646411.00     0.7440     0.0097    0.7300     2565899.0        12.3         OPTIMAL        3.1378              True                2568208.0   3.0450
crane66_2    8  10    4144910.00     0.00          4144910.00     1.5590     0.0269    1.5200     4124869.0        10.2         OPTIMAL        0.4859              True                4183029.0   -0.9113
dc112        2  10    3993.00        0.00          3993.00        4.2670     0.0206    4.2400     3993.0           2.4          OPTIMAL        0.0000              False               3993.0      0.0000
dc112        5  10    4242.00        0.00          4242.00        2.1100     0.0183    2.0900     4242.0           18.2         OPTIMAL        0.0000              True                4242.0      0.0000
dc112        8  10    6501.00        0.00          6501.00        8.7500     0.6608    7.6700     6501.0           95.0         OPTIMAL        0.0000              True                6501.0      0.0000
dc126        2  10    6204.00        0.00          6204.00        0.9220     0.0103    0.9100     6204.0           1.2          OPTIMAL        0.0000              True                6281.0      -1.2259
dc126        5  10    12601.00       0.00          12601.00       11.7070    11.3049   7.1700     12595.0          35.7         OPTIMAL        0.0476              True                12752.0     -1.1841
dc126        8  10    50697.90       15.67         50677.00       85.8960    0.7112    84.5500    50597.0          235.2        OPTIMAL        0.1581              True                51239.0     -1.0968
dc134        2  10    3743.00        0.00          3743.00        17.3490    0.0567    17.2800    3743.0           12.8         OPTIMAL        0.0000              False               3743.0      0.0000
dc134        5  10    3743.00        0.00          3743.00        13.1990    0.0498    13.1200    3743.0           11.4         OPTIMAL        0.0000              False               3743.0      0.0000
dc134        8  10    3807.00        0.00          3807.00        6.0330     0.1945    5.8600     3807.0           23.0         OPTIMAL        0.0000              True                3821.0      -0.3664
dc176        2  10    5496.00        0.00          5496.00        48.2760    0.2376    48.1000    5495.0           137.8        OPTIMAL        0.0182              True                5561.0      -1.1689
dc176        5  10    5495.90        0.32          5495.00        38.6960    0.2395    38.4400    5495.0           111.6        OPTIMAL        0.0000              True                5561.0      -1.1868
dc176        8  10    5625.00        0.00          5625.00        37.5810    0.6810    36.2100    5625.0           71.6         OPTIMAL        0.0000              True                5715.0      -1.5748
dc188        2  10    4562.00        0.00          4562.00        84.4440    0.7158    83.4900    4562.0           51.0         OPTIMAL        0.0000              False               4599.0      -0.8045
dc188        5  10    4562.00        0.00          4562.00        70.9680    0.4754    70.3000    4562.0           36.3         OPTIMAL        0.0000              False               4599.0      -0.8045
dc188        8  10    4608.00        0.00          4608.00        28.6100    0.9966    27.6500    4608.0           90.8         OPTIMAL        0.0000              True                4653.0      -0.9671
ft53         2  10    2990.00        0.00          2990.00        0.1250     0.0053    0.1200     2990.0           1.8          OPTIMAL        0.0000              True                3026.0      -1.1897
ft53         5  10    3667.00        0.00          3667.00        0.2930     0.0116    0.2800     3667.0           3.3          OPTIMAL        0.0000              True                3721.0      -1.4512
ft53         8  10    5029.40        44.44         4965.00        0.8660     0.0222    0.8400     4936.0           3.2          OPTIMAL        0.5875              True                4959.0      0.1210
ft70         2  10    8161.00        0.00          8161.00        0.2810     0.0032    0.2800     8161.0           2.4          OPTIMAL        0.0000              True                15909.0     -48.7020
ft70         5  10    15787.90       40.01         15718.00       0.3170     0.0134    0.2900     15699.0          5.9          OPTIMAL        0.1210              True                25609.0     -38.6231
ft70         8  10    25456.00       0.00          25456.00       1.5890     0.0088    1.5800     25195.0          4.9          OPTIMAL        1.0359              True                25488.0     -0.1255
ftv100       2  10    1698.90        4.43          1692.00        20.1750    0.1030    19.9400    1669.0           8.3          OPTIMAL        1.3781              False               1669.0      1.3781
ftv100       5  10    1709.20        12.35         1701.00        21.4860    0.1766    21.3300    1669.0           7.9          OPTIMAL        1.9173              False               1669.0      1.9173
ftv100       8  10    1761.50        19.50         1743.00        18.0980    0.0957    17.9700    1669.0           6.7          OPTIMAL        4.4338              False               1669.0      4.4338
ftv110       2  10    1963.00        0.00          1963.00        22.1140    0.1859    21.9100    1892.0           16.0         OPTIMAL        3.7526              False               1893.0      3.6978
ftv110       5  10    1943.70        22.89         1922.00        26.4520    0.3208    26.0300    1892.0           13.2         OPTIMAL        1.5856              False               1893.0      1.5320
ftv110       8  10    2007.00        25.15         1958.00        25.5230    0.2453    25.1500    1892.0           13.3         OPTIMAL        3.4884              False               1893.0      3.4337
ftv120       2  10    2055.90        18.89         2025.00        33.1320    0.2219    32.8000    1950.0           9.9          OPTIMAL        3.8462              False               1950.0      3.8462
ftv120       5  10    2032.20        18.85         2012.00        36.7910    0.1433    36.5300    1950.0           10.1         OPTIMAL        3.1795              False               1950.0      3.1795
ftv120       8  10    2085.70        87.31         2007.00        30.9410    0.3351    30.4600    1950.0           8.9          OPTIMAL        2.9231              False               1950.0      2.9231
ftv130       2  10    2277.90        0.32          2277.00        41.0890    0.2577    40.6900    2160.0           16.9         OPTIMAL        5.4167              False               2161.0      5.3679
ftv130       5  10    2303.00        11.73         2281.00        49.7180    0.2547    49.2200    2160.0           13.3         OPTIMAL        5.6019              False               2161.0      5.5530
ftv130       8  10    2295.80        45.29         2275.00        36.0200    0.7451    35.2800    2160.0           15.9         OPTIMAL        5.3241              False               2165.0      5.0808
ftv140       2  10    2382.10        7.96          2371.00        59.8140    0.3590    59.1100    2255.0           26.5         OPTIMAL        5.1441              False               2257.0      5.0510
ftv140       5  10    2390.00        22.26         2348.00        68.7950    0.2996    68.3100    2255.0           28.0         OPTIMAL        4.1242              False               2264.0      3.7102
