instance	g	UB		    LB		    best known solution
crane100_5	5	2756499		2756499.0	2756499
crane100_6	5	2318584		2289273.5	2307968
crane100_7	5	2626015		2626015.0	2626015
crane100_8	5	3100592		3044040.1	3056879
crane100_9	5	2853993		2743382.5	2807391
crane316_10	5	4912604		4815363.4	4862039
crane316_11	5	4589917		4536715.5	4547174
crane316_12	5	5016467		4904519.0	4931643
crane316_13	5	4752664		4639438.6	4678740
crane316_14	5	4301355		4236421.7	4244061
crane316_15	5	4689805		4619532.4	4623231
crane316_16	5	5155626		5025912.7	5066955
crane316_17	5	5449079		5325151.1	5388193
crane316_18	5	4276098		4228590.6	4241740
crane316_19	5	4322582		4245622.1	4275551
crane66_0	5	2617682		2553548.8	2617682
crane66_1	5	2311795		2265340.7	2277182
crane66_2	5	2568208		2546911.3	2565899
stilt100_0	5	5837877		5703281.6	5776645
stilt100_1	5	5877753		5782294.3	5820711
stilt100_2	5	5912671		5755971.0	5825292
stilt100_3	5	6479310		6221570.6	6395529
stilt100_4	5	5908208		5673290.0	5872971
stilt100_5	5	6478185		6090041.7	6363015
stilt100_6	5	5476226		5245119.0	5412361
stilt100_7	5	5935471		5790805.0	5904767
stilt100_8	5	5699532		5523840.6	5649254
stilt100_9	5	6006610		5791220.0	5933627
stilt316_10	5	9698770		9459210.4	9698770
stilt316_11	5	11182455	10898229.7	10973950
stilt316_12	5	11140562	10894355.6	11140562
stilt316_13	5	10581816	10323622.3	10369247
stilt316_14	5	11648719	11262454.1	11461891
stilt316_15	5	10324831	10102967.0	10177261
stilt316_16	5	11922684	11594977.4	11703823
stilt316_17	5	12932134	12614003.5	12932134
stilt316_18	5	11103032	10833419.9	10871470
stilt316_19	5	10275779	10058525.6	10275779
crane100_0	8	5276384		5147578.2	5193803
crane100_1	8	4734596		4575869.1	4696089
crane100_2	8	5101127		4883748.8	5020301
crane100_3	8	4701300		4584796.7	4623169
crane100_4	8	5066143		4909633.0	4984399
crane100_5	8	5181831		5033322.1	5156564
crane100_6	8	4138550		4055984.5	4107742
crane100_7	8	4492429		4418068.2	4452800
crane100_8	8	4891623		4819326.0	4819808
crane100_9	8	4646713		4503028.9	4561415
crane316_10	8	8451199		8280755.5	8355116
crane316_11	8	8082514		7855221.3	8003282
crane316_12	8	8102996		7946190.5	7959722
crane316_13	8	7546490		7374607.6	7440831
crane316_14	8	8364969		8102868.5	8242161
crane316_15	8	8009557		7849555.3	7881871
crane316_16	8	8991853		8749164.5	8825060
crane316_17	8	8863450		8715551.1	8751432
crane316_18	8	8267273		8166513.1	8191908
crane316_19	8	8236771		8079261.7	8119045
crane66_0	8	4194580		4125289.7	4174127
crane66_1	8	4010020		3852834.7	3979379
crane66_2	8	4183029		4067533.3	4124869
stilt100_0	8	10300313	9786056.8	10123158
stilt100_1	8	10233461	9795301.3	10049555
stilt100_2	8	9776155		9443325.7	9619360
stilt100_3	8	10038170	9479173.1	9911306
stilt100_4	8	10332109	9995348.5	10235892
