instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
crane316_11  5  10    5394934.50     54458.11      5343271.00     106.6770   0.7063    105.0800   4547174.0        1048.4       OPTIMAL        17.5075             True                4589917.0   16.4132
crane316_11  8  10    9174565.80     70309.11      9092874.00     415.2380   24.7910   383.1400   8003282.0        2163.5       OPTIMAL        13.6143             True                8082514.0   12.5006
crane316_12  2  10    2312417.20     22952.87      2254835.00     38.6630    0.1619    38.3900    1971472.0        3600.4       TIME_LIMIT     14.3732             True                1968055.0   14.5717
crane316_12  5  10    5246148.00     0.00          5246148.00     120.4410   0.6400    119.5400   4501234.0        3607.5       TIME_LIMIT     16.5491             True                5016467.0   4.5785
crane316_12  8  10    8725805.90     98076.17      8551390.00     399.4760   10.3784   386.5300   7726334.0        2722.4       OPTIMAL        10.6785             True                8102996.0   5.5337
crane316_13  2  10    2150909.40     13652.16      2112791.00     38.5210    0.1622    38.2300    1724803.0        3600.2       TIME_LIMIT     22.4946             True                1826437.0   15.6783
crane316_13  5  10    5189751.00     0.00          5189751.00     102.5740   0.6407    101.5600   4209269.0        1329.2       OPTIMAL        23.2934             True                4752664.0   9.1967
crane316_13  8  10    8476767.70     130205.26     8291598.00     407.2470   7.3283    399.3400   7440831.0        1313.4       OPTIMAL        11.4338             True                7546490.0   9.8736
crane316_14  2  10    2054541.20     8246.99       2034024.00     39.2690    0.1400    39.0300    1690461.0        3600.1       TIME_LIMIT     20.3236             True                1737346.0   17.0765
crane316_14  5  10    5001784.10     30505.37      4940162.00     124.6830   1.0528    122.3900   4298748.0        3600.1       TIME_LIMIT     14.9209             True                4301355.0   14.8513
crane316_14  8  10    8569966.60     58223.63      8414837.00     419.1000   6.1917    414.5400   7705981.0        3544.7       OPTIMAL        9.1988              True                8364969.0   0.5962
crane316_15  2  10    2342980.30     24152.80      2330169.00     38.3920    0.2249    38.0800    1859953.0        3604.5       TIME_LIMIT     25.2811             True                1986257.0   17.3146
crane316_15  5  10    5661725.90     58362.87      5519000.00     119.0410   0.9410    117.6100   4534538.0        3600.2       TIME_LIMIT     21.7103             True                4689805.0   17.6808
crane316_15  8  10    9251509.60     44433.45      9223932.00     523.4290   18.4426   471.4900   7881871.0        1634.3       OPTIMAL        17.0272             True                8009557.0   15.1616
crane316_16  2  10    2306941.00     29561.32      2233625.00     41.2350    0.2642    40.8300    1713861.9        3600.1       TIME_LIMIT     30.3270             True                1746193.0   27.9140
crane316_16  5  10    5501676.00     0.00          5501676.00     117.1770   1.0255    115.5100   4645820.0        3600.3       TIME_LIMIT     18.4221             True                5155626.0   6.7121
crane316_16  8  10    8907438.20     66955.10      8855575.00     414.0220   11.4248   402.7000   8032853.0        3600.1       TIME_LIMIT     10.2420             True                8991853.0   -1.5156
crane316_17  2  10    2317728.90     39071.74      2240159.00     38.1530    0.3160    37.6700    1812199.0        3600.1       TIME_LIMIT     23.6155             True                1829052.0   22.4765
crane316_17  5  10    5811493.60     6850.76       5808244.00     109.8280   0.5991    108.4600   4642919.9        3177.8       OPTIMAL        25.0989             True                5449079.0   6.5913
crane316_17  8  10    9752764.40     23016.26      9691943.00     522.9560   18.3618   493.7200   8412189.3        3600.1       TIME_LIMIT     15.2131             True                8863450.0   9.3473
crane316_18  2  10    2104133.50     13418.91      2067710.00     34.2300    0.1498    34.0500    1705860.0        3600.1       TIME_LIMIT     21.2122             True                1680097.0   23.0709
crane316_18  5  10    5254698.80     16472.94      5207816.00     93.5230    0.5054    92.8200    4241740.0        1465.2       OPTIMAL        22.7755             True                4276098.0   21.7890
crane316_18  8  10    9277344.70     77954.26      9055483.00     419.8690   3.5275    413.0100   7978220.0        3600.1       TIME_LIMIT     13.5025             True                8267273.0   9.5341
crane316_19  2  10    1968843.40     87443.40      1876851.00     35.3740    0.1987    35.0000    1567089.0        2284.8       OPTIMAL        19.7667             True                1575864.0   19.0998
crane316_19  5  10    5121188.30     47419.30      5106193.00     103.0420   0.5494    102.0700   4272261.0        1872.4       OPTIMAL        19.5197             True                4322582.0   18.1283
crane316_19  8  10    8938741.60     61650.67      8867110.00     387.2860   31.3232   360.0600   7902226.0        3600.0       TIME_LIMIT     12.2103             True                8236771.0   7.6527
crane66_0    2  10    1377182.40     3546.81       1367088.00     0.4210     0.0032    0.4200     1252494.0        38.1         OPTIMAL        9.1493              True                1256251.0   8.8228
crane66_0    5  10    2745438.00     3402.42       2740425.00     0.9130     0.0067    0.9000     2617682.0        10.0         OPTIMAL        4.6890              True                2617682.0   4.6890
crane66_0    8  10    4387645.40     11667.00      4378547.00     1.7960     0.0190    1.7700     4174127.0        5.1          OPTIMAL        4.8973              True                4194580.0   4.3858
crane66_1    2  10    981417.90      5335.08       966234.00      0.4680     0.0042    0.4600     961865.0         4.2          OPTIMAL        0.4542              True                961865.0    0.4542
crane66_1    5  10    2367807.70     5900.72       2354836.00     0.6430     0.0048    0.6400     2277182.0        10.8         OPTIMAL        3.4101              True                2311795.0   1.8618
