instance	g	run	solution	time
crane100_9	2	2	1377457.00	1.42
crane100_9	2	3	1377457.00	1.41
crane100_9	2	4	1377457.00	1.42
crane100_9	2	5	1377457.00	1.42
crane100_9	2	6	1377457.00	1.42
crane100_9	2	7	1377457.00	1.41
crane100_9	2	8	1377457.00	1.42
crane100_9	2	9	1377457.00	1.41
crane100_9	2	10	1377457.00	1.43
crane100_9	5	1	3061112.00	2.47
crane100_9	5	2	3030778.00	2.47
crane100_9	5	3	3009722.00	2.47
crane100_9	5	4	3035597.00	2.47
crane100_9	5	5	3044931.00	2.47
crane100_9	5	6	3061112.00	2.46
crane100_9	5	7	3009722.00	2.45
crane100_9	5	8	3030778.00	2.46
crane100_9	5	9	3030778.00	2.50
crane100_9	5	10	3030778.00	2.47
crane100_9	8	1	4735258.00	5.53
crane100_9	8	2	4784328.00	5.55
crane100_9	8	3	4735258.00	5.54
crane100_9	8	4	4735258.00	5.59
crane100_9	8	5	4784328.00	5.55
crane100_9	8	6	4735258.00	5.53
crane100_9	8	7	4735258.00	5.55
crane100_9	8	8	4784328.00	5.53
crane100_9	8	9	4735258.00	5.54
crane100_9	8	10	4735258.00	5.53
crane316_10	2	1	2031926.00	38.85
crane316_10	2	2	2050674.00	38.71
crane316_10	2	3	2051494.00	38.91
crane316_10	2	4	2051494.00	39.46
crane316_10	2	5	2050674.00	39.09
crane316_10	2	6	2076048.00	38.40
crane316_10	2	7	2076048.00	38.82
crane316_10	2	8	2051494.00	38.87
crane316_10	2	9	2015021.00	38.57
crane316_10	2	10	2076048.00	38.34
crane316_10	5	1	5192012.00	108.92
crane316_10	5	2	5297047.00	107.52
crane316_10	5	3	5297047.00	109.57
crane316_10	5	4	5345980.00	109.21
crane316_10	5	5	5345980.00	108.46
crane316_10	5	6	5236930.00	108.27
crane316_10	5	7	5368296.00	108.30
crane316_10	5	8	5345980.00	107.21
crane316_10	5	9	5345980.00	107.50
crane316_10	5	10	5345980.00	108.93
crane316_10	8	1	9246482.00	396.51
crane316_10	8	2	9246482.00	397.59
crane316_10	8	3	9291252.00	397.74
crane316_10	8	4	9246482.00	397.95
crane316_10	8	5	9246482.00	397.01
crane316_10	8	6	9246482.00	398.03
crane316_10	8	7	8956115.00	397.69
crane316_10	8	8	9216910.00	397.71
crane316_10	8	9	9291252.00	397.47
crane316_10	8	10	8956115.00	398.72
crane316_11	2	1	2238902.00	35.30
crane316_11	2	2	2282730.00	34.61
crane316_11	2	3	2282730.00	34.76
crane316_11	2	4	2238902.00	35.29
crane316_11	2	5	2238902.00	35.48
crane316_11	2	6	2238902.00	35.41
crane316_11	2	7	2282730.00	34.70
crane316_11	2	8	2238902.00	35.07
