grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Médio porte	ftv140	141	5	4.4346	4.0194	62.7800	28.0	False
Médio porte	ftv140	141	8	9.8448	9.4081	63.4090	19.4	False
Médio porte	ftv150	151	2	11.2859	11.2421	76.4100	29.7	False
Médio porte	ftv150	151	5	10.0275	9.6825	99.9120	24.0	False
Médio porte	ftv150	151	8	6.5277	6.4858	82.5920	27.5	False
Médio porte	ftv160	161	2	7.8323	7.8323	90.3040	35.4	False
Médio porte	ftv160	161	5	7.9905	7.9051	94.1740	30.4	False
Médio porte	ftv160	161	8	12.1835	12.0949	93.0290	38.9	False
Médio porte	ftv170	171	2	10.9774	10.9774	106.5110	23.0	False
Médio porte	ftv170	171	5	5.0000	5.0000	112.8830	25.0	False
Médio porte	ftv170	171	8	10.7895	10.7895	153.4050	27.2	False
Pequeno porte	ftv33	34	2	0.8310	0.8310	0.1330	0.2	True
Pequeno porte	ftv33	34	5	0.0000	0.0000	0.1970	0.2	True
Pequeno porte	ftv33	34	8	8.7108	8.7108	0.2170	0.3	True
Pequeno porte	ftv35	36	2	0.4307	0.4307	0.1440	0.3	True
Pequeno porte	ftv35	36	5	0.4307	0.0858	0.2180	0.3	True
Pequeno porte	ftv35	36	8	4.2052	4.2052	0.3310	0.6	True
Pequeno porte	ftv38	39	2	4.1350	4.1350	0.2960	0.6	True
Pequeno porte	ftv38	39	5	4.1350	4.1350	0.3420	0.5	True
Pequeno porte	ftv38	39	8	0.0000	-0.4898	0.5360	0.6	True
Pequeno porte	ftv44	45	2	0.3940	0.3940	0.3900	0.8	True
Pequeno porte	ftv44	45	5	0.0000	0.0000	0.6530	0.9	True
Pequeno porte	ftv44	45	8	2.0579	2.0579	0.7570	1.3	True
Pequeno porte	ftv47	48	2	4.9645	4.9645	0.3770	0.8	True
Pequeno porte	ftv47	48	5	0.9220	0.9220	0.5380	0.8	True
Pequeno porte	ftv47	48	8	0.3451	0.2759	0.8060	1.2	True
Pequeno porte	ftv55	56	2	5.0869	5.0869	1.5630	1.7	True
Pequeno porte	ftv55	56	5	1.8030	1.6720	1.5700	1.7	True
Pequeno porte	ftv55	56	8	0.9659	0.9009	2.1810	2.0	False
Pequeno porte	ftv64	65	2	2.4595	2.4595	1.7730	1.5	False
Pequeno porte	ftv64	65	5	2.6537	2.6537	2.3690	1.3	False
Pequeno porte	ftv64	65	8	7.8165	7.6774	3.2700	2.2	False
Pequeno porte	ftv70	71	2	0.0000	0.0000	2.4320	2.6	True
Pequeno porte	ftv70	71	5	0.0000	-0.2391	3.0980	2.5	False
Pequeno porte	ftv70	71	8	2.1562	2.1562	3.9750	5.3	True
Pequeno porte	ftv80	81	2	10.6105	10.6105	4.5150	4.0	False
Pequeno porte	ftv80	81	5	3.1977	2.8986	5.4010	4.1	False
Pequeno porte	ftv80	81	8	5.8140	5.8140	8.3820	4.3	False
Pequeno porte	ftv90	91	2	2.6860	2.6860	12.3840	4.5	False
Pequeno porte	ftv90	91	5	2.6860	2.6860	11.1380	4.8	False
Pequeno porte	ftv90	91	8	5.5785	5.5785	11.6460	4.6	False
Pequeno porte	kro124	100	2	3.8569	1.6173	0.8760	21.7	True
Pequeno porte	kro124	100	5	8.3158	6.0409	2.2280	23.8	True
Pequeno porte	kro124	100	8	5.3483	2.9992	7.2150	24.8	True
Pequeno porte	p43	43	2	0.0000	0.0000	1.2380	0.9	False
Pequeno porte	p43	43	5	0.0000	0.0000	1.1040	1.3	True
Pequeno porte	p43	43	8	0.0000	0.0000	0.6930	1.2	True
Grande porte	rbg323	323	2	10.6689	8.8260	2204.0867	30.2	False
