instance     g  solution    gap   time    status
ftv70        2  1669.0      0.00  1.8     OPTIMAL
ftv70        5  1669.0      0.00  2.0     OPTIMAL
ftv70        8  1716.0      0.00  4.7     OPTIMAL
ftv80        2  1376.0      0.00  2.9     OPTIMAL
ftv80        5  1376.0      0.00  3.2     OPTIMAL
ftv80        8  1376.0      0.00  2.8     OPTIMAL
ftv90        2  1452.0      0.00  3.2     OPTIMAL
ftv90        5  1452.0      0.00  3.3     OPTIMAL
ftv90        8  1452.0      0.00  3.2     OPTIMAL
kro124       2  9619.0      0.00  13.4    OPTIMAL
kro124       5  16595.0     0.00  13.9    OPTIMAL
kro124       8  25036.0     0.00  24.5    OPTIMAL
p43          2  371.0       0.00  0.7     OPTIMAL
p43          5  371.0       0.00  0.5     OPTIMAL
p43          8  371.0       0.00  0.6     OPTIMAL
rbg323       2  1181.0      0.00  18.4    OPTIMAL
rbg323       5  1181.0      0.00  28.3    OPTIMAL
rbg323       8  1181.0      0.00  27.5    OPTIMAL
rbg358       2  987.0       0.00  21.5    OPTIMAL
rbg358       5  987.0       0.00  51.4    OPTIMAL
rbg358       8  987.0       0.00  25.3    OPTIMAL
rbg403       2  2054.0      0.00  34.7    OPTIMAL
rbg403       5  2054.0      0.00  60.2    OPTIMAL
rbg403       8  2054.0      0.00  30.6    OPTIMAL
rbg443       2  2370.0      0.00  37.7    OPTIMAL
rbg443       5  2370.0      0.00  94.5    OPTIMAL
rbg443       8  2370.0      0.00  85.6    OPTIMAL
ry48p        2  4426.0      0.00  3.2     OPTIMAL
ry48p        5  5960.0      0.00  1.4     OPTIMAL
ry48p        8  9461.0      0.00  2.3     OPTIMAL
stilt100_0   2  2500962.0   0.00  35.6    OPTIMAL
stilt100_0   5  5776645.0   0.00  55.9    OPTIMAL
stilt100_0   8  10123158.0  0.00  62.4    OPTIMAL
stilt100_1   2  2645205.0   0.00  271.0   OPTIMAL
stilt100_1   5  5820711.0   0.00  106.8   OPTIMAL
stilt100_1   8  10066151.0  0.00  23.1    OPTIMAL
stilt100_2   2  2654301.0   0.00  79.1    OPTIMAL
stilt100_2   5  5825292.0   0.00  54.7    OPTIMAL
stilt100_2   8  9619360.0   0.00  8.2     OPTIMAL
stilt100_3   2  3327309.2   0.00  1495.3  OPTIMAL
stilt100_3   5  6395529.0   0.00  161.4   OPTIMAL
stilt100_3   8  9911306.0   0.00  32.1    OPTIMAL
stilt100_4   2  2662325.0   0.00  55.4    OPTIMAL
stilt100_4   5  5872971.0   0.00  15.3    OPTIMAL
stilt100_4   8  10235892.0  0.00  27.3    OPTIMAL
stilt100_5   2  2469070.0   0.00  35.2    OPTIMAL
stilt100_5   5  6361876.0   0.00  1298.0  OPTIMAL
stilt100_5   8  10116440.0  0.00  15.2    OPTIMAL
stilt100_6   2  2722457.0   0.00  190.0   OPTIMAL
stilt100_6   5  5412361.0   0.00  13.5    OPTIMAL
stilt100_6   8  9297847.0   0.00  17.6    OPTIMAL
stilt100_7   2  3088358.0   0.00  3141.6  OPTIMAL
stilt100_7   5  5904766.8   0.00  107.2   OPTIMAL
stilt100_7   8  10386931.0  0.00  68.2    OPTIMAL
stilt100_8   2  2752703.0   0.00  386.0   OPTIMAL
stilt100_8   5  5649254.0   0.00  32.7    OPTIMAL
stilt100_8   8  9626836.0   0.00  18.4    OPTIMAL
stilt100_9   2  2505204.0   0.00  39.4    OPTIMAL
stilt100_9   5  5933627.0   0.00  1353.5  OPTIMAL
stilt100_9   8  10008040.0  0.00  19.5    OPTIMAL
stilt316_10  2  4181041.0   0.18  3600.0  TIME_LIMIT
stilt316_10  5  9741209.9   0.12  3600.1  TIME_LIMIT
stilt316_10  8  16991814.9  0.03  3600.1  TIME_LIMIT
stilt316_11  2  3980542.0   0.00  2713.3  OPTIMAL
stilt316_11  5  10010706.0  0.04  3600.0  TIME_LIMIT
stilt316_11  8  18020281.0  0.08  3600.1  TIME_LIMIT
stilt316_12  2  4425817.0   0.22  3600.1  TIME_LIMIT
stilt316_12  5  10616040.0  0.20  3600.2  TIME_LIMIT
stilt316_12  8  16908450.0  0.00  2924.9  OPTIMAL
stilt316_13  2  4448687.0   0.16  3600.0  TIME_LIMIT
stilt316_13  5  10159600.0  0.15  3600.1  TIME_LIMIT
stilt316_13  8  17024498.0  0.02  3600.0  TIME_LIMIT
stilt316_14  2  3777900.0   0.11  3600.0  TIME_LIMIT
stilt316_14  5  9647852.0   0.15  3600.1  TIME_LIMIT
stilt316_14  8  16725316.0  0.05  3600.1  TIME_LIMIT
stilt316_15  2  4147874.0   0.11  3600.0  TIME_LIMIT
stilt316_15  5  9517006.0   0.00  1231.3  OPTIMAL
stilt316_15  8  17244970.0  0.06  3600.2  TIME_LIMIT
stilt316_16  2  3846876.0   0.09  3600.1  TIME_LIMIT
stilt316_16  5  10071394.0  0.06  3600.0  TIME_LIMIT
stilt316_16  8  17381498.0  0.03  3600.1  TIME_LIMIT
stilt316_17  2  4363896.0   0.07  3600.1  TIME_LIMIT
stilt316_17  5  10367615.0  0.00  1200.2  OPTIMAL
stilt316_17  8  17889255.0  0.07  3600.0  TIME_LIMIT
stilt316_18  2  3926305.8   0.13  3600.1  TIME_LIMIT
stilt316_18  5  9979844.0   0.16  3600.1  TIME_LIMIT
stilt316_18  8  17314645.0  0.10  3600.1  TIME_LIMIT
stilt316_19  2  4126067.0   0.12  3600.1  TIME_LIMIT
stilt316_19  5  9961471.0   0.19  3600.1  TIME_LIMIT
stilt316_19  8  16929061.0  0.09  3600.1  TIME_LIMIT
td100_1      2  36509.0     0.00  5.8     OPTIMAL
td100_1      5  85987.0     0.00  1.7     OPTIMAL
td100_1      8  157727.0    0.00  1.6     OPTIMAL
td316_10     2  76669.0     0.00  15.7    OPTIMAL
td316_10     5  201465.0    0.00  13.8    OPTIMAL
td316_10     8  387300.0    0.00  25.2    OPTIMAL
