instance	size	g	gap_gurobi_percent	gap_UB_percent	time
stilt316_16	316	2	11.01	1.82	185.12
stilt316_16	316	5	16.44	-2.89	733.09
stilt316_16	316	8	12.69	8.51	2116.54
stilt316_17	316	2	17.84	8.70	228.31
stilt316_17	316	5	16.75	-5.24	711.23
stilt316_17	316	8	12.25	7.14	2250.37
stilt316_18	316	2	10.88	-3.36	176.28
stilt316_18	316	5	15.02	-1.63	785.86
stilt316_18	316	8	7.27	-0.46	2486.54
stilt316_19	316	2	10.41	2.85	179.01
stilt316_19	316	5	16.90	12.55	707.63
stilt316_19	316	8	9.19	0.03	1970.07
td316_10	317	2	8.40	7.80	89.67
td316_10	317	5	5.97	4.48	347.48
td316_10	317	8	3.09	1.06	1345.24
rbg323	323	2	9.48	7.66	8471.99
rbg323	323	5	10.13	8.30	8780.43
rbg323	323	8	9.23	7.68	7750.20
rbg358	358	2	20.26	19.90	15003.79
rbg358	358	5	19.55	18.36	14667.68
rbg358	358	8	19.55	19.19	12629.02
rbg403	403	2	2.34	0.00	19129.43
rbg403	403	5	2.58	0.24	19390.91
rbg403	403	8	2.09	0.24	20131.94
rbg443	443	2	3.04	1.71	30819.53
rbg443	443	5	3.42	2.08	30761.80
rbg443	443	8	1.81	0.50	31207.74
