instance	g	run	solution	time	status
crane100_0	2	5	1549950.00	4.57	OK
crane100_0	2	6	1549950.00	4.56	OK
crane100_0	2	7	1549950.00	4.55	OK
crane100_0	2	8	1549950.00	4.54	OK
crane100_0	2	9	1549950.00	4.60	OK
crane100_0	2	10	1549950.00	4.57	OK
crane100_0	5	1	3523211.00	7.53	OK
crane100_0	5	2	3523211.00	7.51	OK
crane100_0	5	3	3523211.00	7.51	OK
crane100_0	5	4	3523211.00	7.47	OK
crane100_0	5	5	3523211.00	7.50	OK
crane100_0	5	6	3520331.00	7.60	OK
crane100_0	5	7	3523211.00	7.50	OK
crane100_0	5	8	3523211.00	7.49	OK
crane100_0	5	9	3523211.00	7.45	OK
crane100_0	5	10	3523211.00	7.49	OK
crane100_0	8	1	5504231.00	22.54	OK
crane100_0	8	2	5504231.00	22.26	OK
crane100_0	8	3	5457564.00	22.26	OK
crane100_0	8	4	5504231.00	22.40	OK
crane100_0	8	5	5457654.00	22.62	OK
crane100_0	8	6	5504231.00	22.45	OK
crane100_0	8	7	5457654.00	22.46	OK
crane100_0	8	8	5504231.00	22.49	OK
crane100_0	8	9	5504231.00	22.41	OK
crane100_0	8	10	5504231.00	22.20	OK
crane100_1	2	1	1029922.00	5.50	OK
crane100_1	2	2	1029922.00	5.46	OK
crane100_1	2	3	1029922.00	5.57	OK
crane100_1	2	4	1029922.00	5.49	OK
crane100_1	2	5	1029922.00	5.50	OK
crane100_1	2	6	1029922.00	5.43	OK
crane100_1	2	7	1029922.00	5.43	OK
crane100_1	2	8	1029922.00	5.51	OK
crane100_1	2	9	1029922.00	5.44	OK
crane100_1	2	10	1029922.00	5.50	OK
crane100_1	5	1	2729374.00	10.94	OK
crane100_1	5	2	2729374.00	10.92	OK
crane100_1	5	3	2729374.00	10.99	OK
crane100_1	5	4	2729374.00	10.89	OK
crane100_1	5	5	2729374.00	11.25	OK
crane100_1	5	6	2729374.00	10.98	OK
crane100_1	5	7	2729374.00	10.86	OK
crane100_1	5	8	2729374.00	11.07	OK
crane100_1	5	9	2729374.00	10.97	OK
crane100_1	5	10	2729374.00	11.02	OK
crane100_1	8	1	4977741.00	23.08	OK
crane100_1	8	2	4977741.00	23.21	OK
crane100_1	8	3	4977741.00	23.02	OK
crane100_1	8	4	4977741.00	23.24	OK
crane100_1	8	5	4977741.00	23.36	OK
crane100_1	8	6	4977741.00	23.20	OK
crane100_1	8	7	4977741.00	23.09	OK
crane100_1	8	8	4977741.00	23.13	OK
crane100_1	8	9	4977741.00	23.10	OK
crane100_1	8	10	5056129.00	22.80	OK
crane100_2	2	1	1318394.00	5.33	OK
crane100_2	2	2	1318394.00	5.36	OK
crane100_2	2	3	1318394.00	5.39	OK
crane100_2	2	4	1318394.00	5.28	OK
crane100_2	2	5	1318394.00	5.34	OK
crane100_2	2	6	1318394.00	5.37	OK
crane100_2	2	7	1318394.00	5.32	OK
crane100_2	2	8	1318394.00	5.42	OK
crane100_2	2	9	1318394.00	5.36	OK
crane100_2	2	10	1318394.00	5.34	OK
crane100_2	5	1	3164913.00	10.44	OK
crane100_2	5	2	3164913.00	10.45	OK
crane100_2	5	3	3164913.00	10.42	OK
crane100_2	5	4	3164913.00	10.66	OK
crane100_2	5	5	3196170.00	10.36	OK
crane100_2	5	6	3097154.00	10.45	OK
crane100_2	5	7	3164913.00	10.55	OK
crane100_2	5	8	3164913.00	10.58	OK
crane100_2	5	9	3097154.00	10.42	OK
crane100_2	5	10	3207800.00	10.09	OK
crane100_2	8	1	5402760.00	23.26	OK
crane100_2	8	2	5445861.00	23.20	OK
crane100_2	8	3	5445861.00	23.32	OK
crane100_2	8	4	5445861.00	23.21	OK
crane100_2	8	5	5402760.00	23.25	OK
crane100_2	8	6	5445861.00	23.24	OK
crane100_2	8	7	5445861.00	23.26	OK
crane100_2	8	8	5402760.00	23.32	OK
crane100_2	8	9	5445861.00	23.18	OK
crane100_2	8	10	5402760.00	23.36	OK
crane100_3	2	1	1623586.00	6.02	OK
crane100_3	2	2	1623586.00	6.02	OK
crane100_3	2	3	1623586.00	6.07	OK
crane100_3	2	4	1623586.00	6.07	OK
crane100_3	2	5	1623586.00	6.06	OK
crane100_3	2	6	1623586.00	5.98	OK
crane100_3	2	7	1623586.00	6.07	OK
crane100_3	2	8	1623586.00	6.00	OK
crane100_3	2	9	1623586.00	5.98	OK
crane100_3	2	10	1623586.00	6.02	OK
crane100_3	5	1	3034582.00	14.27	OK
crane100_3	5	2	3034582.00	14.16	OK
crane100_3	5	3	3034582.00	14.64	OK
crane100_3	5	4	3034582.00	14.29	OK
crane100_3	5	5	3034582.00	14.17	OK
crane100_3	5	6	3034582.00	14.29	OK
crane100_3	5	7	3034582.00	14.26	OK
crane100_3	5	8	3034582.00	14.19	OK
crane100_3	5	9	3034582.00	14.19	OK
crane100_3	5	10	3034582.00	14.37	OK
crane100_3	8	1	4984391.00	26.42	OK
crane100_3	8	2	4984391.00	26.31	OK
crane100_3	8	3	4984391.00	26.55	OK
crane100_3	8	4	4984391.00	26.57	OK
crane100_3	8	5	4935485.00	26.52	OK
crane100_3	8	6	4984391.00	26.46	OK
crane100_3	8	7	4954050.00	26.57	OK
crane100_3	8	8	4984391.00	26.41	OK
crane100_3	8	9	4935485.00	26.64	OK
crane100_3	8	10	4984391.00	26.25	OK
crane100_4	2	1	1185142.00	5.50	OK
crane100_4	2	2	1185142.00	5.51	OK
crane100_4	2	3	1185142.00	5.51	OK
crane100_4	2	4	1185142.00	5.54	OK
crane100_4	2	5	1185142.00	5.59	OK
crane100_4	2	6	1185142.00	5.49	OK
