number;value;datetime_start;datetime_complete;duration;params_l2_regularization;params_learning_rate;params_max_iter;params_max_leaf_nodes;params_min_samples_leaf;state
86;0.9167898538056489;2026-06-20 09:19:52.174357;2026-06-20 09:19:53.863761;0 days 00:00:01.689404;1.8990563695108788e-07;0.14205230056397047;643;55;20;COMPLETE
87;0.9162812462413884;2026-06-20 09:19:53.864042;2026-06-20 09:19:55.390848;0 days 00:00:01.526806;9.828112164049715e-07;0.12192741785773488;562;43;23;COMPLETE
88;0.9096905117083969;2026-06-20 09:19:55.391129;2026-06-20 09:20:00.427526;0 days 00:00:05.036397;4.530651525302274e-07;0.015250086645464875;606;46;13;COMPLETE
89;0.9178481299501016;2026-06-20 09:20:00.427848;2026-06-20 09:20:02.002218;0 days 00:00:01.574370;1.5334204133657898e-07;0.15897409153914413;654;51;26;COMPLETE
90;0.9176893722634318;2026-06-20 09:20:02.002529;2026-06-20 09:20:03.434331;0 days 00:00:01.431802;6.037376142076084e-06;0.18651080543743961;462;50;27;COMPLETE
91;0.9150452903719533;2026-06-20 09:20:03.434626;2026-06-20 09:20:04.695213;0 days 00:00:01.260587;6.518772786237047e-06;0.18492014769949575;454;52;29;COMPLETE
92;0.9176506330103628;2026-06-20 09:20:04.695505;2026-06-20 09:20:06.353869;0 days 00:00:01.658364;1.434223333623435e-07;0.16419574586770508;408;49;26;COMPLETE
93;0.9152048515992126;2026-06-20 09:20:06.354136;2026-06-20 09:20:07.484228;0 days 00:00:01.130092;1.3272452266310983e-07;0.16654044466299098;411;48;30;COMPLETE
94;0.9158922153480153;2026-06-20 09:20:07.484566;2026-06-20 09:20:09.094084;0 days 00:00:01.609518;6.349289913008187e-08;0.1632195965789164;325;60;35;COMPLETE
95;0.9155013451769504;2026-06-20 09:20:09.094352;2026-06-20 09:20:10.554236;0 days 00:00:01.459884;4.192490108825549e-08;0.13331695538517993;474;49;26;COMPLETE
96;0.9168799091080142;2026-06-20 09:20:10.554482;2026-06-20 09:20:11.911950;0 days 00:00:01.357468;1.8830756410899467e-07;0.18945496497508402;407;45;22;COMPLETE
97;0.9172153742158796;2026-06-20 09:20:11.912238;2026-06-20 09:20:13.186298;0 days 00:00:01.274060;2.995186025650063e-05;0.1991775261326285;438;57;19;COMPLETE
98;0.9164717291239575;2026-06-20 09:20:13.186570;2026-06-20 09:20:14.968197;0 days 00:00:01.781627;6.111311807668641e-07;0.14200457252102505;381;62;31;COMPLETE
99;0.9151396640692585;2026-06-20 09:20:14.968455;2026-06-20 09:20:16.600979;0 days 00:00:01.632524;2.8246815952624953e-08;0.1765317881788514;512;52;34;COMPLETE
