instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
crane316_12	2	10	2235017.50	28060.39	2169116.00	33.3460	0.2079	32.9300	1971472.0	3600.4	TIME_LIMIT	10.0252	True	1968055.0	10.2162
crane316_12	5	10	5154345.70	24444.18	5139844.00	108.3570	0.8872	107.1700	4501234.0	3607.5	TIME_LIMIT	14.1874	True	5016467.0	2.4594
crane316_12	8	10	8616058.50	17074.72	8567463.00	411.8860	9.7033	405.1200	7726334.0	2722.4	OPTIMAL	10.8865	True	8102996.0	5.7320
crane316_13	2	10	1964866.50	6369.35	1958824.00	34.0170	0.2147	33.7400	1724803.0	3600.2	TIME_LIMIT	13.5680	True	1826437.0	7.2484
crane316_13	5	10	5020705.50	78157.09	4841187.00	99.9640	0.7281	98.7900	4209269.0	1329.2	OPTIMAL	15.0125	True	4752664.0	1.8626
crane316_13	8	10	8501848.80	108350.93	8276554.00	420.8470	18.3558	405.9800	7440831.0	1313.4	OPTIMAL	11.2316	True	7546490.0	9.6742
crane316_14	2	10	2073779.00	33541.05	1987647.00	40.6560	0.3564	40.2600	1690461.0	3600.1	TIME_LIMIT	17.5802	True	1737346.0	14.4071
crane316_14	5	10	4791446.70	123428.20	4657132.00	109.4760	0.8557	108.0000	4298748.0	3600.1	TIME_LIMIT	8.3369	True	4301355.0	8.2713
crane316_14	8	10	8465060.80	26057.73	8435778.00	392.5400	3.7481	389.8900	7705981.0	3544.7	OPTIMAL	9.4705	True	8364969.0	0.8465
crane316_15	2	10	2224271.90	26240.26	2164289.00	35.9780	0.2538	35.3400	1859953.0	3604.5	TIME_LIMIT	16.3626	True	1986257.0	8.9632
crane316_15	5	10	5543911.20	27746.31	5519009.00	108.8330	1.4446	107.3600	4534538.0	3600.2	TIME_LIMIT	21.7105	True	4689805.0	17.6810
crane316_15	8	10	9075273.10	72185.10	9008965.00	520.3400	31.4847	493.0300	7881871.0	1634.3	OPTIMAL	14.2998	True	8009557.0	12.4777
crane316_16	2	10	2294800.60	42547.05	2214126.00	35.3440	0.2611	35.0300	1713861.9	3600.1	TIME_LIMIT	29.1893	True	1746193.0	26.7973
crane316_16	5	10	5443445.90	37236.13	5394647.00	131.0380	1.4069	129.1200	4645820.0	3600.3	TIME_LIMIT	16.1183	True	5155626.0	4.6361
crane316_16	8	10	9016286.60	96125.52	8839259.00	525.0770	25.5064	479.9000	8032853.0	3600.1	TIME_LIMIT	10.0388	True	8991853.0	-1.6970
crane316_17	2	10	2121615.80	25298.88	2058055.00	40.7790	0.2489	40.3600	1812199.0	3600.1	TIME_LIMIT	13.5667	True	1829052.0	12.5203
crane316_17	5	10	5336150.50	68649.60	5290389.00	114.3610	0.8105	113.1900	4642919.9	3177.8	OPTIMAL	13.9453	True	5449079.0	-2.9122
crane316_17	8	10	9567163.20	46185.70	9479532.00	545.8490	2.2057	541.5900	8412189.3	3600.1	TIME_LIMIT	12.6880	True	8863450.0	6.9508
crane316_18	2	10	2090493.80	47292.93	2029246.00	36.1200	0.4068	35.5500	1705860.0	3600.1	TIME_LIMIT	18.9574	True	1680097.0	20.7815
crane316_18	5	10	5094436.30	51689.13	5017403.00	95.2680	1.5158	92.9100	4241740.0	1465.2	OPTIMAL	18.2864	True	4276098.0	17.3360
crane316_18	8	10	8884803.10	101647.89	8794100.00	476.2530	7.2328	465.9700	7978220.0	3600.1	TIME_LIMIT	10.2263	True	8267273.0	6.3724
crane316_19	2	10	1791379.10	4038.73	1786294.00	25.3870	0.1533	25.1900	1567089.0	2284.8	OPTIMAL	13.9880	True	1575864.0	13.3533
crane316_19	5	10	4897903.00	62751.93	4775255.00	81.6320	1.1427	80.0800	4272261.0	1872.4	OPTIMAL	11.7735	True	4322582.0	10.4723
crane316_19	8	10	8804887.80	92013.36	8718553.00	475.0270	32.1897	426.8000	7902226.0	3600.0	TIME_LIMIT	10.3303	True	8236771.0	5.8492
crane66_0	2	10	1252494.00	0.00	1252494.00	0.3830	0.0106	0.3600	1252494.0	38.1	OPTIMAL	0.0000	True	1256251.0	-0.2991
crane66_0	5	10	2671654.80	6050.91	2660174.00	0.9020	0.0123	0.8800	2617682.0	10.0	OPTIMAL	1.6233	True	2617682.0	1.6233
