instance	g	run	solution	time
crane100_4	2	5	1185142.00	0.83
crane100_4	2	6	1185142.00	0.83
crane100_4	2	7	1185142.00	0.83
crane100_4	2	8	1185142.00	0.83
crane100_4	2	9	1185142.00	0.83
crane100_4	2	10	1185142.00	0.84
crane100_4	5	1	3000202.00	1.55
crane100_4	5	2	3000202.00	1.59
crane100_4	5	3	3000202.00	1.59
crane100_4	5	4	3000202.00	1.61
crane100_4	5	5	2983009.00	1.59
crane100_4	5	6	3000202.00	1.60
crane100_4	5	7	3000202.00	1.58
crane100_4	5	8	2983009.00	1.59
crane100_4	5	9	3000202.00	1.59
crane100_4	5	10	3000202.00	1.57
crane100_4	8	1	5417318.00	7.17
crane100_4	8	2	5443523.00	6.79
crane100_4	8	3	5417318.00	7.16
crane100_4	8	4	5417318.00	7.23
crane100_4	8	5	5153094.00	6.35
crane100_4	8	6	5417318.00	7.30
crane100_4	8	7	5148223.00	6.42
crane100_4	8	8	5417318.00	7.19
crane100_4	8	9	5417318.00	7.23
crane100_4	8	10	5417318.00	7.22
crane100_5	2	1	1284202.00	1.22
crane100_5	2	2	1275669.00	1.22
crane100_5	2	3	1284202.00	1.23
crane100_5	2	4	1284202.00	1.22
crane100_5	2	5	1296213.00	1.21
crane100_5	2	6	1284202.00	1.21
crane100_5	2	7	1284202.00	1.21
crane100_5	2	8	1284202.00	1.20
crane100_5	2	9	1284202.00	1.23
crane100_5	2	10	1284202.00	1.20
crane100_5	5	1	3046928.00	2.61
crane100_5	5	2	3046928.00	2.62
crane100_5	5	3	3068939.00	2.88
crane100_5	5	4	3068939.00	2.81
crane100_5	5	5	3046928.00	2.61
crane100_5	5	6	3046928.00	2.63
crane100_5	5	7	3046928.00	2.61
crane100_5	5	8	3046928.00	2.63
crane100_5	5	9	3046928.00	2.60
crane100_5	5	10	3046928.00	2.62
crane100_5	8	1	5547544.00	8.13
crane100_5	8	2	5577333.00	7.97
crane100_5	8	3	5592040.00	7.98
crane100_5	8	4	5474038.00	8.00
crane100_5	8	5	5359009.00	7.93
crane100_5	8	6	5359009.00	7.85
crane100_5	8	7	5254170.00	8.03
crane100_5	8	8	5496457.00	8.43
crane100_5	8	9	5522469.00	7.84
crane100_5	8	10	5312994.00	8.77
crane100_6	2	1	1026234.00	1.14
crane100_6	2	2	1026234.00	1.09
crane100_6	2	3	1026234.00	1.10
crane100_6	2	4	1026234.00	1.10
crane100_6	2	5	1026234.00	1.13
crane100_6	2	6	1026234.00	1.13
crane100_6	2	7	1026234.00	1.12
crane100_6	2	8	1026234.00	1.11
crane100_6	2	9	1026234.00	1.10
crane100_6	2	10	1026234.00	1.11
crane100_6	5	1	2340667.00	1.78
crane100_6	5	2	2340667.00	1.77
crane100_6	5	3	2340667.00	1.77
crane100_6	5	4	2340667.00	1.77
crane100_6	5	5	2353936.00	1.73
crane100_6	5	6	2340667.00	1.78
crane100_6	5	7	2340667.00	1.75
crane100_6	5	8	2331938.00	1.82
crane100_6	5	9	2340667.00	1.79
crane100_6	5	10	2340667.00	1.77
crane100_6	8	1	4255520.00	6.13
crane100_6	8	2	4255520.00	6.20
crane100_6	8	3	4311121.00	6.27
crane100_6	8	4	4323256.00	6.22
crane100_6	8	5	4255520.00	6.14
crane100_6	8	6	4255520.00	6.13
crane100_6	8	7	4323256.00	6.26
crane100_6	8	8	4255520.00	6.17
crane100_6	8	9	4255520.00	6.14
crane100_6	8	10	4311121.00	6.38
crane100_7	2	1	1336728.00	1.12
crane100_7	2	2	1336728.00	1.12
crane100_7	2	3	1336728.00	1.10
crane100_7	2	4	1336728.00	1.13
