instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
ft70	8	10	25574.00	0.00	25574.00	9.3410	0.1157	9.1800	25195.0	4.7	OPTIMAL	1.5043	False	25488.0	0.3374
ftv100	2	10	1794.20	3.79	1793.00	68.3680	1.2637	66.8800	1669.0	8.3	OPTIMAL	7.5015	False	1669.0	7.5015
ftv100	5	10	1818.00	38.73	1788.00	68.8570	0.7710	67.3500	1669.0	7.5	OPTIMAL	8.9275	False	1669.0	8.9275
ftv100	8	10	1698.80	53.13	1682.00	74.3770	1.2298	72.0200	1669.0	6.4	OPTIMAL	1.7855	False	1669.0	1.7855
ftv110	2	10	2189.50	61.66	2131.00	64.9740	1.7750	62.1600	1892.0	15.5	OPTIMAL	15.7241	False	1893.0	15.6630
ftv110	5	10	2108.40	2.95	2107.00	69.3670	4.9501	65.3400	1892.0	12.7	OPTIMAL	11.4376	False	1893.0	11.3788
ftv110	8	10	2055.00	0.00	2055.00	100.5030	1.3204	98.7000	1892.0	12.2	OPTIMAL	8.6152	False	1893.0	8.5578
ftv120	2	10	2067.20	16.52	2048.00	131.5700	0.9212	130.0300	1950.0	9.8	OPTIMAL	6.0103	False	1950.0	6.0103
ftv120	5	10	2025.00	0.00	2025.00	148.3740	0.7117	147.4200	1950.0	10.1	OPTIMAL	3.8462	False	1950.0	3.8462
ftv120	8	10	2080.00	23.87	2035.00	137.1940	1.0494	135.7500	1950.0	8.8	OPTIMAL	6.6667	False	1950.0	6.6667
ftv130	2	10	2433.00	0.00	2433.00	132.8100	0.4484	132.1700	2160.0	12.3	OPTIMAL	12.6389	False	2161.0	12.5868
ftv130	5	10	2291.00	0.00	2291.00	172.0700	0.5183	171.5200	2160.0	13.3	OPTIMAL	6.0648	False	2161.0	6.0157
ftv130	8	10	2342.20	25.93	2334.00	182.9020	1.2460	179.5600	2160.0	15.7	OPTIMAL	8.4352	False	2165.0	8.1848
ftv140	2	10	2482.10	6.74	2470.00	208.2650	0.7509	207.4200	2255.0	26.5	OPTIMAL	10.0710	False	2257.0	9.9734
ftv140	5	10	2415.10	10.49	2386.00	260.5630	0.6939	259.2900	2255.0	26.1	OPTIMAL	7.0998	False	2264.0	6.6740
ftv140	8	10	2479.10	6.64	2477.00	245.7060	1.0321	244.5000	2255.0	19.4	OPTIMAL	9.9379	False	2264.0	9.5009
ftv150	2	10	2761.00	0.00	2761.00	302.6470	1.1140	301.2200	2543.0	29.7	OPTIMAL	8.5726	False	2544.0	8.5299
ftv150	5	10	2703.00	67.63	2661.00	289.3450	1.2239	287.9500	2543.0	23.6	OPTIMAL	6.2918	False	2551.0	5.9584
ftv150	8	10	2741.80	8.78	2735.00	339.3750	1.7522	336.3500	2543.0	27.1	OPTIMAL	7.8175	False	2544.0	7.7752
ftv160	2	10	2733.30	5.38	2718.00	358.4390	1.0934	356.5100	2528.0	18.8	OPTIMAL	8.1210	False	2528.0	8.1210
ftv160	5	10	2793.90	25.98	2720.00	382.5180	1.8418	379.7700	2528.0	30.4	OPTIMAL	10.5182	False	2530.0	10.4308
ftv160	8	10	2836.70	4.27	2831.00	371.7570	1.7059	370.2900	2528.0	36.7	OPTIMAL	12.2112	False	2530.0	12.1225
ftv170	2	10	3009.40	23.19	2995.00	446.9750	2.4562	443.6300	2660.0	23.0	OPTIMAL	13.1353	False	2660.0	13.1353
ftv170	5	10	3003.00	0.00	3003.00	483.2370	2.5462	479.7000	2660.0	23.7	OPTIMAL	12.8947	False	2660.0	12.8947
ftv170	8	10	2954.90	22.70	2938.00	579.2000	12.2110	571.9200	2660.0	27.2	OPTIMAL	11.0865	False	2660.0	11.0865
ftv33	2	10	1092.00	0.00	1092.00	0.5130	0.0462	0.3900	1083.0	0.2	OPTIMAL	0.8310	False	1083.0	0.8310
ftv33	5	10	1083.00	0.00	1083.00	0.8400	0.0082	0.8300	1083.0	0.2	OPTIMAL	0.0000	False	1083.0	0.0000
ftv33	8	10	1231.00	0.00	1231.00	0.9610	0.0166	0.9400	1148.0	0.3	OPTIMAL	7.2300	False	1148.0	7.2300
ftv35	2	10	1166.00	0.00	1166.00	0.5740	0.0084	0.5600	1161.0	0.3	OPTIMAL	0.4307	False	1161.0	0.4307
ftv35	5	10	1166.00	0.00	1166.00	0.9240	0.0097	0.9100	1161.0	0.3	OPTIMAL	0.4307	False	1165.0	0.0858
ftv35	8	10	1239.00	0.00	1239.00	1.3610	0.0321	1.3300	1189.0	0.6	OPTIMAL	4.2052	False	1189.0	4.2052
ftv38	2	10	1234.00	0.00	1234.00	1.1790	0.0247	1.1500	1185.0	0.6	OPTIMAL	4.1350	False	1185.0	4.1350
ftv38	5	10	1235.00	0.00	1235.00	1.4560	0.0378	1.4300	1185.0	0.5	OPTIMAL	4.2194	False	1185.0	4.2194
ftv38	8	10	1219.00	0.00	1219.00	2.2890	0.0233	2.2600	1219.0	0.5	OPTIMAL	0.0000	False	1225.0	-0.4898
ftv44	2	10	1280.00	0.00	1280.00	1.7200	0.0337	1.6900	1269.0	0.8	OPTIMAL	0.8668	False	1269.0	0.8668
ftv44	5	10	1270.00	2.11	1269.00	2.7010	0.0233	2.6700	1269.0	0.8	OPTIMAL	0.0788	False	1269.0	0.0788
ftv44	8	10	1353.80	19.11	1339.00	3.3950	0.3986	3.0400	1312.0	1.3	OPTIMAL	3.1860	False	1312.0	3.1860
ftv47	2	10	1480.00	0.00	1480.00	1.6300	0.0189	1.6100	1410.0	0.7	OPTIMAL	4.9645	False	1410.0	4.9645
ftv47	5	10	1425.00	0.00	1425.00	2.3320	0.0361	2.2900	1410.0	0.8	OPTIMAL	1.0638	False	1410.0	1.0638
ftv47	8	10	1454.00	0.00	1454.00	3.5060	0.0472	3.4400	1449.0	1.2	OPTIMAL	0.3451	False	1450.0	0.2759
ftv55	2	10	1637.00	10.33	1625.00	5.5510	0.0191	5.5300	1553.0	1.6	OPTIMAL	5.4089	False	1553.0	5.4089
ftv55	5	10	1585.20	8.85	1581.00	6.5660	0.0438	6.4900	1553.0	1.7	OPTIMAL	2.0734	False	1555.0	1.9421
