instance	g	solution	time	status
crane316_14	5	4298748.0	3600.1	TIME_LIMIT
crane316_14	8	7705981.0	3544.7	OPTIMAL
crane316_15	2	1849426.0	3600.1	TIME_LIMIT
crane316_15	5	4534538.0	3600.2	TIME_LIMIT
crane316_15	8	7881871.0	1634.3	OPTIMAL
crane316_16	2	1713861.9	3600.1	TIME_LIMIT
crane316_16	5	4645820.0	3600.3	TIME_LIMIT
crane316_16	8	8032853.0	3600.1	TIME_LIMIT
crane316_17	2	1812199.0	3600.1	TIME_LIMIT
crane316_17	5	4642919.9	3144.9	OPTIMAL
crane316_17	8	8392855.0	2557.4	OPTIMAL
crane316_18	2	1705860.0	3600.1	TIME_LIMIT
crane316_18	5	4241740.0	1434.2	OPTIMAL
crane316_18	8	7978220.0	3600.1	TIME_LIMIT
crane316_19	2	1567088.6	2021.0	OPTIMAL
crane316_19	5	4272261.0	1866.2	OPTIMAL
crane316_19	8	7902226.0	3600.0	TIME_LIMIT
crane66_0	2	1252494.0	38.1	OPTIMAL
crane66_0	5	2617682.0	9.8	OPTIMAL
crane66_0	8	4174127.0	5.1	OPTIMAL
crane66_1	2	961865.0	4.1	OPTIMAL
crane66_1	5	2277182.0	10.6	OPTIMAL
crane66_1	8	3979379.0	10.8	OPTIMAL
crane66_2	2	1182704.0	10.9	OPTIMAL
crane66_2	5	2565899.0	12.1	OPTIMAL
crane66_2	8	4124869.0	10.2	OPTIMAL
dc112	2	3993.0	2.4	OPTIMAL
dc112	5	4242.0	16.5	OPTIMAL
dc112	8	6501.0	95.0	OPTIMAL
dc126	2	6204.0	1.1	OPTIMAL
dc126	5	12596.0	33.6	OPTIMAL
dc126	8	50598.0	231.9	OPTIMAL
dc134	2	3743.0	12.5	OPTIMAL
dc134	5	3743.0	11.4	OPTIMAL
dc134	8	3807.0	20.8	OPTIMAL
dc176	2	5495.0	115.0	OPTIMAL
dc176	5	5495.0	111.6	OPTIMAL
dc176	8	5625.0	71.6	OPTIMAL
dc188	2	4562.0	51.0	OPTIMAL
dc188	5	4562.0	36.3	OPTIMAL
dc188	8	4608.0	90.8	OPTIMAL
ft53	2	2990.0	1.8	OPTIMAL
ft53	5	3667.0	2.8	OPTIMAL
ft53	8	4898.0	2.9	OPTIMAL
ft70	2	8161.0	2.1	OPTIMAL
ft70	5	15699.0	5.9	OPTIMAL
ft70	8	25195.0	4.7	OPTIMAL
ftv100	2	1669.0	8.3	OPTIMAL
ftv100	5	1669.0	7.5	OPTIMAL
ftv100	8	1669.0	6.4	OPTIMAL
ftv110	2	1892.0	15.5	OPTIMAL
ftv110	5	1892.0	12.7	OPTIMAL
ftv110	8	1892.0	12.2	OPTIMAL
ftv120	2	1950.0	9.8	OPTIMAL
ftv120	5	1950.0	10.1	OPTIMAL
ftv120	8	1950.0	8.8	OPTIMAL
ftv130	2	2160.0	12.3	OPTIMAL
ftv130	5	2160.0	13.3	OPTIMAL
ftv130	8	2160.0	15.7	OPTIMAL
ftv140	2	2255.0	26.5	OPTIMAL
ftv140	5	2255.0	26.1	OPTIMAL
ftv140	8	2255.0	19.4	OPTIMAL
ftv150	2	2543.0	29.7	OPTIMAL
ftv150	5	2543.0	23.6	OPTIMAL
ftv150	8	2543.0	27.1	OPTIMAL
ftv160	2	2528.0	18.8	OPTIMAL
ftv160	5	2528.0	30.4	OPTIMAL
ftv160	8	2528.0	36.7	OPTIMAL
ftv170	2	2660.0	23.0	OPTIMAL
ftv170	5	2660.0	23.7	OPTIMAL
ftv170	8	2660.0	27.2	OPTIMAL
ftv33	2	1083.0	0.2	OPTIMAL
ftv33	5	1083.0	0.2	OPTIMAL
ftv33	8	1148.0	0.3	OPTIMAL
ftv35	2	1161.0	0.3	OPTIMAL
ftv35	5	1161.0	0.3	OPTIMAL
